7zip 24.09-3
a52dec 0.8.0-2
abseil-cpp 20250127.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
akonadi-contacts 24.12.3-1
alacritty 0.15.1-1
alsa-card-profiles 1:1.4.1-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
amd-ucode 20250311.b69d4b74-3
ansible 11.3.0-1
ansible-core 2.18.3-1
aom 3.12.0-1
arandr 0.1.11-4
arc-gtk-theme-eos 20221218-2
archlinux-keyring 20250123-1
archlinux-wallpaper 1.6.1-7
archlinux-xdg-menu 0.7.6.6-2
aribb24 1.0.3-4
ark 24.12.3-1
arpwatch 3.6-1
aspell 0.60.8.1-2
at-spi2-core 2.56.0-1
attica 6.12.0-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
autossh 1.4g-3
avahi 1:0.8+r194+g3f79789-3
awesome-terminal-fonts 1.1.0-5
aws-cli 1.37.23-1
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash 5.2.037-2
bash-completion 2.16.0-1
bat 0.25.0-4
bcg729 1.1.1-2
bettercap 2.41.0-1
bind 9.20.7-1
binutils 2.44-1
bison 3.8.2-8
bluez 5.80-1
bluez-libs 5.80-1
bluez-utils 5.80-1
bmon 4.0-5
botan2 2.19.5-2
breeze-icons 6.12.0-1
brotli 1.1.0-3
btrfs-progs 6.13-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.109-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cdrtools 3.02a09-6
chromaprint 1.5.1-10
cifs-utils 7.3-1
cmake 3.31.6-1
code 1.98.2-1
confuse 3.3-4
containerd 2.0.4-1
convertlit 1.8-12
coreutils 9.6-4
cpio 2.15-2
cppdap 1.58.0-2
cronie 1.7.2-1
cryptsetup 2.7.5-2
cups 2:2.4.11-2
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.1-8
curl 8.12.1-1
darkstat 3.0.721-4
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.114-1
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
dex 0.9.0-2
diffutils 3.11-2
ding-libs 0.6.2-2
dislocker 0.7.3-6
dkms 3.1.6-1
dma 0.14-1
dmenu 5.3-3
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
dnssec-anchors 20190629-4
docker 1:28.0.1-1
docker-compose 2.34.0-1
dosfstools 4.2-5
double-conversion 3.3.1-1
downgrade 11.4.4-1
dracut 106-1
duf 0.8.1-3
duktape 2.7.0-7
dunst 1.12.2-1
e2fsprogs 1.47.2-1
ebook-tools 0.2.2-8
efibootmgr 18-3
efitools 1.9.2-5
efivar 39-1
electron34 34.3.2-1
elinks 0.18.0-1
ell 0.74-1
enchant 2.8.2-2
endeavouros-branding 25.02.1.2-1
